Word,Freq
&,8
nbsp,8
;,8
i,4
track,2
all,1
of,1
my,1
food/exercise,1
using,1
fitday,1
pc,2
which,1
bought,1
at,1
urllink,3
http,3
:,4
//www.fitday.com,1
.,1
they,1
have,1
a,3
free,1
version,2
that,1
you,1
can,1
your,1
stuff,1
through,1
their,1
website,1
",",2
but,1
like,1
the,1
better,2
because,1
it,1
has,1
lot,2
more,1
flexibility,1
and,2
options.,1
here,1
are,1
some,1
links,1
for,1
articles,1
about,1
atkins,1
ibs,1
explaining,1
why,1
am,1
feeling,1
//atkins.com/archive/2002/1/11-771731.html,1
//atkins.com/archive/2002/2/12-234348.html,1
